"","Sub.Question","Question","Response","Freq","Percent","Count","Type"
"842","Make an offer on a product (e.g. on eBay, Amazon)","328.3 - Buying and Selling - Make an offer on a product (e.g. on eBay, Amazon)","1: Never",295,14.75,7,"Likert"
"843","Make an offer on a product (e.g. on eBay, Amazon)","328.3 - Buying and Selling - Make an offer on a product (e.g. on eBay, Amazon)","2:  Less than Once a Month",307,15.35,7,"Likert"
"844","Make an offer on a product (e.g. on eBay, Amazon)","328.3 - Buying and Selling - Make an offer on a product (e.g. on eBay, Amazon)","7:  Don't know",293,14.65,7,"Likert"
"845","Make an offer on a product (e.g. on eBay, Amazon)","328.3 - Buying and Selling - Make an offer on a product (e.g. on eBay, Amazon)","4:  Weekly",278,13.9,7,"Likert"
"846","Make an offer on a product (e.g. on eBay, Amazon)","328.3 - Buying and Selling - Make an offer on a product (e.g. on eBay, Amazon)","5:  Daily",267,13.35,7,"Likert"
"847","Make an offer on a product (e.g. on eBay, Amazon)","328.3 - Buying and Selling - Make an offer on a product (e.g. on eBay, Amazon)","3:  Monthly",286,14.3,7,"Likert"
"848","Make an offer on a product (e.g. on eBay, Amazon)","328.3 - Buying and Selling - Make an offer on a product (e.g. on eBay, Amazon)","6:  Several times per day",274,13.7,7,"Likert"
"849","Make new friends /meet new people","343.6 - Using the Internet to stay in touch - Make new friends /meet new people","5:  Daily",269,13.45,7,"Likert"
"850","Make new friends /meet new people","343.6 - Using the Internet to stay in touch - Make new friends /meet new people","1: Never",293,14.65,7,"Likert"
"851","Make new friends /meet new people","343.6 - Using the Internet to stay in touch - Make new friends /meet new people","6:  Several times per day",306,15.3,7,"Likert"
"852","Make new friends /meet new people","343.6 - Using the Internet to stay in touch - Make new friends /meet new people","3:  Monthly",309,15.45,7,"Likert"
"853","Make new friends /meet new people","343.6 - Using the Internet to stay in touch - Make new friends /meet new people","4:  Weekly",264,13.2,7,"Likert"
"854","Make new friends /meet new people","343.6 - Using the Internet to stay in touch - Make new friends /meet new people","7:  Don't know",248,12.4,7,"Likert"
"855","Make new friends /meet new people","343.6 - Using the Internet to stay in touch - Make new friends /meet new people","2:  Less than Once a Month",311,15.55,7,"Likert"
"856","Making new friends","430.2 - Keeping in touch - Making new friends","3:  Fairly important",515,25.75,4,"Likert"
"857","Making new friends","430.2 - Keeping in touch - Making new friends","4:  Extremely important",492,24.6,4,"Likert"
"858","Making new friends","430.2 - Keeping in touch - Making new friends","1: Not important at all",508,25.4,4,"Likert"
"859","Making new friends","430.2 - Keeping in touch - Making new friends","2:  A little important",485,24.25,4,"Likert"
"869","My community is able to use technology effectively to engage with local, national and international political issues.","402.2 - Community capacities - My community is able to use technology effectively to engage with local, national and international political issues.","2:  Somewhat disagree",273,13.65,7,"Likert"
"870","My community is able to use technology effectively to engage with local, national and international political issues.","402.2 - Community capacities - My community is able to use technology effectively to engage with local, national and international political issues.","7:  Don't know",313,15.65,7,"Likert"
"871","My community is able to use technology effectively to engage with local, national and international political issues.","402.2 - Community capacities - My community is able to use technology effectively to engage with local, national and international political issues.","3:  Neither agree nor disagree",293,14.65,7,"Likert"
"872","My community is able to use technology effectively to engage with local, national and international political issues.","402.2 - Community capacities - My community is able to use technology effectively to engage with local, national and international political issues.","5:  Agree strongly",275,13.75,7,"Likert"
"873","My community is able to use technology effectively to engage with local, national and international political issues.","402.2 - Community capacities - My community is able to use technology effectively to engage with local, national and international political issues.","4:  Somewhat agree",272,13.6,7,"Likert"
"874","My community is able to use technology effectively to engage with local, national and international political issues.","402.2 - Community capacities - My community is able to use technology effectively to engage with local, national and international political issues.","6:  Not applicable (NA)",285,14.25,7,"Likert"
"875","My community is able to use technology effectively to engage with local, national and international political issues.","402.2 - Community capacities - My community is able to use technology effectively to engage with local, national and international political issues.","1: Disagree strongly",289,14.45,7,"Likert"
"876","My community is able to use technology effectively to learn about and address environmental concerns.","402.4 - Community capacities - My community is able to use technology effectively to learn about and address environmental concerns.","5:  Agree strongly",281,14.05,7,"Likert"
"877","My community is able to use technology effectively to learn about and address environmental concerns.","402.4 - Community capacities - My community is able to use technology effectively to learn about and address environmental concerns.","1: Disagree strongly",303,15.15,7,"Likert"
"878","My community is able to use technology effectively to learn about and address environmental concerns.","402.4 - Community capacities - My community is able to use technology effectively to learn about and address environmental concerns.","2:  Somewhat disagree",307,15.35,7,"Likert"
"879","My community is able to use technology effectively to learn about and address environmental concerns.","402.4 - Community capacities - My community is able to use technology effectively to learn about and address environmental concerns.","4:  Somewhat agree",283,14.15,7,"Likert"
"880","My community is able to use technology effectively to learn about and address environmental concerns.","402.4 - Community capacities - My community is able to use technology effectively to learn about and address environmental concerns.","6:  Not applicable (NA)",270,13.5,7,"Likert"
"881","My community is able to use technology effectively to learn about and address environmental concerns.","402.4 - Community capacities - My community is able to use technology effectively to learn about and address environmental concerns.","3:  Neither agree nor disagree",280,14,7,"Likert"
"882","My community is able to use technology effectively to learn about and address environmental concerns.","402.4 - Community capacities - My community is able to use technology effectively to learn about and address environmental concerns.","7:  Don't know",276,13.8,7,"Likert"
"883","My community is able to use technology effectively to promote cultural activities.","402.3 - Community capacities - My community is able to use technology effectively to promote cultural activities.","3:  Neither agree nor disagree",275,13.75,7,"Likert"
"884","My community is able to use technology effectively to promote cultural activities.","402.3 - Community capacities - My community is able to use technology effectively to promote cultural activities.","4:  Somewhat agree",292,14.6,7,"Likert"
"885","My community is able to use technology effectively to promote cultural activities.","402.3 - Community capacities - My community is able to use technology effectively to promote cultural activities.","6:  Not applicable (NA)",295,14.75,7,"Likert"
"886","My community is able to use technology effectively to promote cultural activities.","402.3 - Community capacities - My community is able to use technology effectively to promote cultural activities.","5:  Agree strongly",294,14.7,7,"Likert"
"887","My community is able to use technology effectively to promote cultural activities.","402.3 - Community capacities - My community is able to use technology effectively to promote cultural activities.","1: Disagree strongly",272,13.6,7,"Likert"
"888","My community is able to use technology effectively to promote cultural activities.","402.3 - Community capacities - My community is able to use technology effectively to promote cultural activities.","2:  Somewhat disagree",305,15.25,7,"Likert"
"889","My community is able to use technology effectively to promote cultural activities.","402.3 - Community capacities - My community is able to use technology effectively to promote cultural activities.","7:  Don't know",267,13.35,7,"Likert"
"890","My community is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","402.5 - Community capacities - My community is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","1: Disagree strongly",304,15.2,7,"Likert"
"891","My community is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","402.5 - Community capacities - My community is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","6:  Not applicable (NA)",298,14.9,7,"Likert"
"892","My community is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","402.5 - Community capacities - My community is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","5:  Agree strongly",292,14.6,7,"Likert"
"893","My community is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","402.5 - Community capacities - My community is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","2:  Somewhat disagree",257,12.85,7,"Likert"
"894","My community is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","402.5 - Community capacities - My community is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","7:  Don't know",291,14.55,7,"Likert"
"895","My community is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","402.5 - Community capacities - My community is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","3:  Neither agree nor disagree",292,14.6,7,"Likert"
"896","My community is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","402.5 - Community capacities - My community is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","4:  Somewhat agree",266,13.3,7,"Likert"
"904","My household is able to use technology effectively to engage with local, national and international political issues.","400.4 - Household capacities - My household is able to use technology effectively to engage with local, national and international political issues.","7:  Don't know",306,15.3,7,"Likert"
"905","My household is able to use technology effectively to engage with local, national and international political issues.","400.4 - Household capacities - My household is able to use technology effectively to engage with local, national and international political issues.","5:  Agree strongly",292,14.6,7,"Likert"
"906","My household is able to use technology effectively to engage with local, national and international political issues.","400.4 - Household capacities - My household is able to use technology effectively to engage with local, national and international political issues.","2:  Somewhat disagree",282,14.1,7,"Likert"
"907","My household is able to use technology effectively to engage with local, national and international political issues.","400.4 - Household capacities - My household is able to use technology effectively to engage with local, national and international political issues.","3:  Neither agree nor disagree",306,15.3,7,"Likert"
"908","My household is able to use technology effectively to engage with local, national and international political issues.","400.4 - Household capacities - My household is able to use technology effectively to engage with local, national and international political issues.","4:  Somewhat agree",270,13.5,7,"Likert"
"909","My household is able to use technology effectively to engage with local, national and international political issues.","400.4 - Household capacities - My household is able to use technology effectively to engage with local, national and international political issues.","6:  Not applicable (NA)",280,14,7,"Likert"
"910","My household is able to use technology effectively to engage with local, national and international political issues.","400.4 - Household capacities - My household is able to use technology effectively to engage with local, national and international political issues.","1: Disagree strongly",264,13.2,7,"Likert"
"911","My household is able to use technology effectively to learn about and address environmental concerns.","400.6 - Household capacities - My household is able to use technology effectively to learn about and address environmental concerns.","7:  Don't know",289,14.45,7,"Likert"
"912","My household is able to use technology effectively to learn about and address environmental concerns.","400.6 - Household capacities - My household is able to use technology effectively to learn about and address environmental concerns.","5:  Agree strongly",295,14.75,7,"Likert"
"913","My household is able to use technology effectively to learn about and address environmental concerns.","400.6 - Household capacities - My household is able to use technology effectively to learn about and address environmental concerns.","3:  Neither agree nor disagree",266,13.3,7,"Likert"
"914","My household is able to use technology effectively to learn about and address environmental concerns.","400.6 - Household capacities - My household is able to use technology effectively to learn about and address environmental concerns.","6:  Not applicable (NA)",272,13.6,7,"Likert"
"915","My household is able to use technology effectively to learn about and address environmental concerns.","400.6 - Household capacities - My household is able to use technology effectively to learn about and address environmental concerns.","2:  Somewhat disagree",301,15.05,7,"Likert"
"916","My household is able to use technology effectively to learn about and address environmental concerns.","400.6 - Household capacities - My household is able to use technology effectively to learn about and address environmental concerns.","4:  Somewhat agree",306,15.3,7,"Likert"
"917","My household is able to use technology effectively to learn about and address environmental concerns.","400.6 - Household capacities - My household is able to use technology effectively to learn about and address environmental concerns.","1: Disagree strongly",271,13.55,7,"Likert"
"918","My household is able to use technology effectively to promote cultural activities.","400.5 - Household capacities - My household is able to use technology effectively to promote cultural activities.","3:  Neither agree nor disagree",280,14,7,"Likert"
"919","My household is able to use technology effectively to promote cultural activities.","400.5 - Household capacities - My household is able to use technology effectively to promote cultural activities.","7:  Don't know",293,14.65,7,"Likert"
"920","My household is able to use technology effectively to promote cultural activities.","400.5 - Household capacities - My household is able to use technology effectively to promote cultural activities.","5:  Agree strongly",278,13.9,7,"Likert"
"921","My household is able to use technology effectively to promote cultural activities.","400.5 - Household capacities - My household is able to use technology effectively to promote cultural activities.","2:  Somewhat disagree",266,13.3,7,"Likert"
"922","My household is able to use technology effectively to promote cultural activities.","400.5 - Household capacities - My household is able to use technology effectively to promote cultural activities.","4:  Somewhat agree",319,15.95,7,"Likert"
"923","My household is able to use technology effectively to promote cultural activities.","400.5 - Household capacities - My household is able to use technology effectively to promote cultural activities.","1: Disagree strongly",290,14.5,7,"Likert"
"924","My household is able to use technology effectively to promote cultural activities.","400.5 - Household capacities - My household is able to use technology effectively to promote cultural activities.","6:  Not applicable (NA)",274,13.7,7,"Likert"
"925","My household is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","400.7 - Household capacities - My household is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","6:  Not applicable (NA)",290,14.5,7,"Likert"
"926","My household is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","400.7 - Household capacities - My household is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","3:  Neither agree nor disagree",266,13.3,7,"Likert"
"927","My household is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","400.7 - Household capacities - My household is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","4:  Somewhat agree",276,13.8,7,"Likert"
"928","My household is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","400.7 - Household capacities - My household is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","2:  Somewhat disagree",303,15.15,7,"Likert"
"929","My household is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","400.7 - Household capacities - My household is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","1: Disagree strongly",286,14.3,7,"Likert"
"930","My household is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","400.7 - Household capacities - My household is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","7:  Don't know",265,13.25,7,"Likert"
"931","My household is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","400.7 - Household capacities - My household is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","5:  Agree strongly",314,15.7,7,"Likert"
"932","My neighbourhood is able to use technology effectively to engage with local, national and international political issues.","401.3 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to engage with local, national and international political issues.","5:  Agree strongly",294,14.7,7,"Likert"
"933","My neighbourhood is able to use technology effectively to engage with local, national and international political issues.","401.3 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to engage with local, national and international political issues.","4:  Somewhat agree",317,15.85,7,"Likert"
"934","My neighbourhood is able to use technology effectively to engage with local, national and international political issues.","401.3 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to engage with local, national and international political issues.","3:  Neither agree nor disagree",288,14.4,7,"Likert"
"935","My neighbourhood is able to use technology effectively to engage with local, national and international political issues.","401.3 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to engage with local, national and international political issues.","6:  Not applicable (NA)",277,13.85,7,"Likert"
"936","My neighbourhood is able to use technology effectively to engage with local, national and international political issues.","401.3 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to engage with local, national and international political issues.","1: Disagree strongly",285,14.25,7,"Likert"
"937","My neighbourhood is able to use technology effectively to engage with local, national and international political issues.","401.3 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to engage with local, national and international political issues.","2:  Somewhat disagree",247,12.35,7,"Likert"
"938","My neighbourhood is able to use technology effectively to engage with local, national and international political issues.","401.3 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to engage with local, national and international political issues.","7:  Don't know",292,14.6,7,"Likert"
"939","My neighbourhood is able to use technology effectively to learn about and address environmental concerns.","401.5 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to learn about and address environmental concerns.","5:  Agree strongly",284,14.2,7,"Likert"
"940","My neighbourhood is able to use technology effectively to learn about and address environmental concerns.","401.5 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to learn about and address environmental concerns.","4:  Somewhat agree",277,13.85,7,"Likert"
"941","My neighbourhood is able to use technology effectively to learn about and address environmental concerns.","401.5 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to learn about and address environmental concerns.","7:  Don't know",293,14.65,7,"Likert"
"942","My neighbourhood is able to use technology effectively to learn about and address environmental concerns.","401.5 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to learn about and address environmental concerns.","1: Disagree strongly",262,13.1,7,"Likert"
"943","My neighbourhood is able to use technology effectively to learn about and address environmental concerns.","401.5 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to learn about and address environmental concerns.","6:  Not applicable (NA)",298,14.9,7,"Likert"
"944","My neighbourhood is able to use technology effectively to learn about and address environmental concerns.","401.5 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to learn about and address environmental concerns.","3:  Neither agree nor disagree",312,15.6,7,"Likert"
"945","My neighbourhood is able to use technology effectively to learn about and address environmental concerns.","401.5 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to learn about and address environmental concerns.","2:  Somewhat disagree",274,13.7,7,"Likert"
"946","My neighbourhood is able to use technology effectively to promote cultural activities.","401.4 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to promote cultural activities.","5:  Agree strongly",282,14.1,7,"Likert"
"947","My neighbourhood is able to use technology effectively to promote cultural activities.","401.4 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to promote cultural activities.","2:  Somewhat disagree",279,13.95,7,"Likert"
"948","My neighbourhood is able to use technology effectively to promote cultural activities.","401.4 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to promote cultural activities.","7:  Don't know",302,15.1,7,"Likert"
"949","My neighbourhood is able to use technology effectively to promote cultural activities.","401.4 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to promote cultural activities.","3:  Neither agree nor disagree",287,14.35,7,"Likert"
"950","My neighbourhood is able to use technology effectively to promote cultural activities.","401.4 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to promote cultural activities.","4:  Somewhat agree",311,15.55,7,"Likert"
"951","My neighbourhood is able to use technology effectively to promote cultural activities.","401.4 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to promote cultural activities.","6:  Not applicable (NA)",286,14.3,7,"Likert"
"952","My neighbourhood is able to use technology effectively to promote cultural activities.","401.4 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to promote cultural activities.","1: Disagree strongly",253,12.65,7,"Likert"
"953","My neighbourhood is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","401.6 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","3:  Neither agree nor disagree",264,13.2,7,"Likert"
"954","My neighbourhood is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","401.6 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","4:  Somewhat agree",288,14.4,7,"Likert"
"955","My neighbourhood is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","401.6 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","7:  Don't know",288,14.4,7,"Likert"
"956","My neighbourhood is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","401.6 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","5:  Agree strongly",276,13.8,7,"Likert"
"957","My neighbourhood is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","401.6 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","1: Disagree strongly",299,14.95,7,"Likert"
"958","My neighbourhood is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","401.6 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","2:  Somewhat disagree",282,14.1,7,"Likert"
"959","My neighbourhood is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","401.6 - Neighbourhood capacities - My neighbourhood is able to use technology effectively to undertake training, find work, advance their careers and pursue business opportunities.","6:  Not applicable (NA)",303,15.15,7,"Likert"
"960","My online life would be impossible without the help of family, friends or neighbours","288.1 - Approach to online communication - My online life would be impossible without the help of family, friends or neighbours","2:  Agree",383,19.15,5,"Likert"
"961","My online life would be impossible without the help of family, friends or neighbours","288.1 - Approach to online communication - My online life would be impossible without the help of family, friends or neighbours","3:  Neither Agree nor Disagree",406,20.3,5,"Likert"
"962","My online life would be impossible without the help of family, friends or neighbours","288.1 - Approach to online communication - My online life would be impossible without the help of family, friends or neighbours","1: Strongly Agree",396,19.8,5,"Likert"
"963","My online life would be impossible without the help of family, friends or neighbours","288.1 - Approach to online communication - My online life would be impossible without the help of family, friends or neighbours","5:  Strongly Disagree",409,20.45,5,"Likert"
"964","My online life would be impossible without the help of family, friends or neighbours","288.1 - Approach to online communication - My online life would be impossible without the help of family, friends or neighbours","4:  Disagree",406,20.3,5,"Likert"
"973","Neighbours","287.3 - Maintenance of online networks - Neighbours","4:  Don't know",491,24.55,4,"Likert"
"974","Neighbours","287.3 - Maintenance of online networks - Neighbours","2:  Moderately important",484,24.2,4,"Likert"
"975","Neighbours","287.3 - Maintenance of online networks - Neighbours","3:  Not important at all",513,25.65,4,"Likert"
"976","Neighbours","287.3 - Maintenance of online networks - Neighbours","1: Very important",512,25.6,4,"Likert"
"999","On public transport","285.4 - Location of online activity - On public transport","3:  Once a week",403,20.15,5,"Likert"
"1000","On public transport","285.4 - Location of online activity - On public transport","1: Never",415,20.75,5,"Likert"
"1001","On public transport","285.4 - Location of online activity - On public transport","2:  Once a month",413,20.65,5,"Likert"
"1002","On public transport","285.4 - Location of online activity - On public transport","4:  Daily",418,20.9,5,"Likert"
"1003","On public transport","285.4 - Location of online activity - On public transport","5:  Always",351,17.55,5,"Likert"
"1004","Online family relationships","284.1 - Importance of online networks - Online family relationships","2:  Moderately important",522,26.1,4,"Likert"
"1005","Online family relationships","284.1 - Importance of online networks - Online family relationships","4:  Don't know",484,24.2,4,"Likert"
"1006","Online family relationships","284.1 - Importance of online networks - Online family relationships","3:  Not important at all",490,24.5,4,"Likert"
"1007","Online family relationships","284.1 - Importance of online networks - Online family relationships","1: Very important",504,25.2,4,"Likert"
"1008","Online friend relationships","284.2 - Importance of online networks - Online friend relationships","1: Very important",470,23.5,4,"Likert"
"1009","Online friend relationships","284.2 - Importance of online networks - Online friend relationships","3:  Not important at all",483,24.15,4,"Likert"
"1010","Online friend relationships","284.2 - Importance of online networks - Online friend relationships","2:  Moderately important",512,25.6,4,"Likert"
"1011","Online friend relationships","284.2 - Importance of online networks - Online friend relationships","4:  Don't know",535,26.75,4,"Likert"
"1012","Online government or community services","284.4 - Importance of online networks - Online government or community services","3:  Not important at all",521,26.05,4,"Likert"
"1013","Online government or community services","284.4 - Importance of online networks - Online government or community services","2:  Moderately important",459,22.95,4,"Likert"
"1014","Online government or community services","284.4 - Importance of online networks - Online government or community services","1: Very important",506,25.3,4,"Likert"
"1015","Online government or community services","284.4 - Importance of online networks - Online government or community services","4:  Don't know",514,25.7,4,"Likert"
"1016","Online support forums, groups and networks","284.3 - Importance of online networks - Online support forums, groups and networks","3:  Not important at all",503,25.15,4,"Likert"
"1017","Online support forums, groups and networks","284.3 - Importance of online networks - Online support forums, groups and networks","2:  Moderately important",509,25.45,4,"Likert"
"1018","Online support forums, groups and networks","284.3 - Importance of online networks - Online support forums, groups and networks","4:  Don't know",466,23.3,4,"Likert"
"1019","Online support forums, groups and networks","284.3 - Importance of online networks - Online support forums, groups and networks","1: Very important",522,26.1,4,"Likert"
"1020","Other","430.14 - Keeping in touch - Other","2:  A little important",492,24.6,4,"Likert"
"1021","Other","430.14 - Keeping in touch - Other","3:  Fairly important",499,24.95,4,"Likert"
"1022","Other","430.14 - Keeping in touch - Other","1: Not important at all",481,24.05,4,"Likert"
"1023","Other","430.14 - Keeping in touch - Other","4:  Extremely important",528,26.4,4,"Likert"
"1024","Other government or community services","433.12 - Other sources of information on internet safety - Other government or community services","1: Never",265,13.25,7,"Likert"
"1025","Other government or community services","433.12 - Other sources of information on internet safety - Other government or community services","3:  Monthly",283,14.15,7,"Likert"
"1026","Other government or community services","433.12 - Other sources of information on internet safety - Other government or community services","2:  Less than Once a Month",314,15.7,7,"Likert"
"1027","Other government or community services","433.12 - Other sources of information on internet safety - Other government or community services","6:  Several times per day",302,15.1,7,"Likert"
"1028","Other government or community services","433.12 - Other sources of information on internet safety - Other government or community services","5:  Daily",273,13.65,7,"Likert"
"1029","Other government or community services","433.12 - Other sources of information on internet safety - Other government or community services","7:  Don't know",283,14.15,7,"Likert"
"1030","Other government or community services","433.12 - Other sources of information on internet safety - Other government or community services","4:  Weekly",280,14,7,"Likert"
"1035","Other networks of interest (e.g. sport, culture, or other interests)","287.5 - Maintenance of online networks - Other networks of interest (e.g. sport, culture, or other interests)","3:  Not important at all",505,25.25,4,"Likert"
"1036","Other networks of interest (e.g. sport, culture, or other interests)","287.5 - Maintenance of online networks - Other networks of interest (e.g. sport, culture, or other interests)","1: Very important",485,24.25,4,"Likert"
"1037","Other networks of interest (e.g. sport, culture, or other interests)","287.5 - Maintenance of online networks - Other networks of interest (e.g. sport, culture, or other interests)","4:  Don't know",523,26.15,4,"Likert"
"1038","Other networks of interest (e.g. sport, culture, or other interests)","287.5 - Maintenance of online networks - Other networks of interest (e.g. sport, culture, or other interests)","2:  Moderately important",487,24.35,4,"Likert"
"1039","Other online information resources","284.5 - Importance of online networks - Other online information resources","4:  Don't know",488,24.4,4,"Likert"
"1040","Other online information resources","284.5 - Importance of online networks - Other online information resources","1: Very important",474,23.7,4,"Likert"
"1041","Other online information resources","284.5 - Importance of online networks - Other online information resources","3:  Not important at all",542,27.1,4,"Likert"
"1042","Other online information resources","284.5 - Importance of online networks - Other online information resources","2:  Moderately important",496,24.8,4,"Likert"
"1052","Other relative","433.5 - Other sources of information on internet safety - Other relative","3:  Monthly",305,15.25,7,"Likert"
"1054","Other relative","433.5 - Other sources of information on internet safety - Other relative","4:  Weekly",270,13.5,7,"Likert"
"1056","Other relative","433.5 - Other sources of information on internet safety - Other relative","7:  Don't know",293,14.65,7,"Likert"
"1057","Other relative","433.5 - Other sources of information on internet safety - Other relative","5:  Daily",274,13.7,7,"Likert"
"1058","Other relative","433.5 - Other sources of information on internet safety - Other relative","1: Never",283,14.15,7,"Likert"
"1059","Other relative","433.5 - Other sources of information on internet safety - Other relative","6:  Several times per day",286,14.3,7,"Likert"
"1060","Other relative","433.5 - Other sources of information on internet safety - Other relative","2:  Less than Once a Month",289,14.45,7,"Likert"
"1070","Parent","433.3 - Other sources of information on internet safety - Parent","5:  Daily",308,15.4,7,"Likert"
"1073","Parent","433.3 - Other sources of information on internet safety - Parent","4:  Weekly",291,14.55,7,"Likert"
"1074","Parent","433.3 - Other sources of information on internet safety - Parent","3:  Monthly",301,15.05,7,"Likert"
"1075","Parent","433.3 - Other sources of information on internet safety - Parent","7:  Don't know",258,12.9,7,"Likert"
"1076","Parent","433.3 - Other sources of information on internet safety - Parent","2:  Less than Once a Month",303,15.15,7,"Likert"
"1077","Parent","433.3 - Other sources of information on internet safety - Parent","1: Never",285,14.25,7,"Likert"
"1078","Parent","433.3 - Other sources of information on internet safety - Parent","6:  Several times per day",254,12.7,7,"Likert"
"1079","Paying bills","430.7 - Keeping in touch - Paying bills","2:  A little important",503,25.15,4,"Likert"
"1080","Paying bills","430.7 - Keeping in touch - Paying bills","4:  Extremely important",480,24,4,"Likert"
"1081","Paying bills","430.7 - Keeping in touch - Paying bills","1: Not important at all",520,26,4,"Likert"
"1082","Paying bills","430.7 - Keeping in touch - Paying bills","3:  Fairly important",497,24.85,4,"Likert"
"1083","People I meet online are more interesting than the people I meet offline","344.4 - Improving relationships - People I meet online are more interesting than the people I meet offline","3:  Neither agree nor disagree",265,13.25,7,"Likert"
"1084","People I meet online are more interesting than the people I meet offline","344.4 - Improving relationships - People I meet online are more interesting than the people I meet offline","2:  Somewhat disagree",309,15.45,7,"Likert"
"1085","People I meet online are more interesting than the people I meet offline","344.4 - Improving relationships - People I meet online are more interesting than the people I meet offline","5:  Agree strongly",281,14.05,7,"Likert"
"1086","People I meet online are more interesting than the people I meet offline","344.4 - Improving relationships - People I meet online are more interesting than the people I meet offline","6:  Not applicable (NA)",272,13.6,7,"Likert"
"1087","People I meet online are more interesting than the people I meet offline","344.4 - Improving relationships - People I meet online are more interesting than the people I meet offline","1: Disagree strongly",303,15.15,7,"Likert"
"1088","People I meet online are more interesting than the people I meet offline","344.4 - Improving relationships - People I meet online are more interesting than the people I meet offline","4:  Somewhat agree",291,14.55,7,"Likert"
"1089","People I meet online are more interesting than the people I meet offline","344.4 - Improving relationships - People I meet online are more interesting than the people I meet offline","7:  Don't know",279,13.95,7,"Likert"
"1092","Play games","355.5 - Leisure - Play games","5:  Daily",263,13.15,7,"Likert"
"1093","Play games","355.5 - Leisure - Play games","7:  Don't know",299,14.95,7,"Likert"
